ano,numero,ementa,autores,id,texto_original,OCCUPATION,PERSON,REGION,ORG,STREET,MISC,LOC,DATE,address,city,country,lat,lng,state,postal
2021,5,"Solicita ao Executivo pavimentação asfáltica na Rua William Vilas Boas, entre o Jardim Monte das Oliveiras e o Bairro Santo Antônio II.",14,2671,https://sapl.santoantoniodaplatina.pr.leg.br/media/sapl/public/materialegislativa/2021/2671/05-2021.pdf,,,"('Jardim Monte das Oliveiras', 'Bairro Santo Antônio II')","('Executivo',)",Rua William Vilas Boas,,,,"Rua William Vilas Boas Santo Antônio da Platina - Paraná, Brazil",Santo Antônio da Platina,Brazil,-23.3016373,-50.0654052,Paraná,
2021,7,"Solicita ao Executivo a implantação de faixa elevada na Rua William Vilas Boas, em frente ao número 90, na Vila Santa Terezinha.",14,2673,https://sapl.santoantoniodaplatina.pr.leg.br/media/sapl/public/materialegislativa/2021/2673/07-2021.pdf,,,"('Vila Santa Terezinha',)","('Executivo',)",Rua William Vilas Boas,,,,"Rua William Vilas Boas Santo Antônio da Platina - Paraná, Brazil",Santo Antônio da Platina,Brazil,-23.3016373,-50.0654052,Paraná,
2022,290,"Solicita à Secretaria Municipal de Serviços e Obras Públicas para que realize a passagem de máquina niveladora e devida manutenção na Rua William Vilas Boas, principalmente no trecho entre o Jardim Bela Manhã e o loteamento Santo Antônio da Platina II.",14,3781,https://sapl.santoantoniodaplatina.pr.leg.br/media/sapl/public/materialegislativa/2022/3781/290-2022.pdf,,,"('Jardim Bela Manhã', 'Santo Antônio da Platina II')","('Secretaria Municipal de Serviços e Obras Públicas',)",Rua William Vilas Boas,,,,"Rua William Vilas Boas Santo Antônio da Platina - Paraná, Brazil",Santo Antônio da Platina,Brazil,-23.3016373,-50.0654052,Paraná,
2022,318,"Solicita à Secretaria Municipal de Serviços e Obras Públicas que realize a passagem de máquina niveladora na antiga estrada da Platina, Rua William Vilas Boas, trecho entre o Jardim Bela Manhã e o loteamento Santo Antônio da Platina II.",142,3819,https://sapl.santoantoniodaplatina.pr.leg.br/media/sapl/public/materialegislativa/2022/3819/318-2022.pdf,,,"('Jardim Bela Manhã', 'Santo Antônio da Platina II')","('Secretaria Municipal de Serviços e Obras Públicas',)",Rua William Vilas Boas,,,,"Rua William Vilas Boas Santo Antônio da Platina - Paraná, Brazil",Santo Antônio da Platina,Brazil,-23.3016373,-50.0654052,Paraná,
2021,14,"Solicita ao Executivo uma faixa elevada na Rua 13 de Maio, esquina com Rua Dep. Benedito Lúcio Machado.",20,2683,https://sapl.santoantoniodaplatina.pr.leg.br/media/sapl/public/materialegislativa/2021/2683/14-2021.pdf,,,,"('Executivo',)",Rua 13 de Maio,,,,"Rua Treze De Maio Santo Antônio da Platina - Paraná, 86430-000, Brazil",Santo Antônio da Platina,Brazil,-23.2974757,-50.0763831,Paraná,86430-000
2021,216,"Requer que seja expedido ofício ao Corpo de Bombeiros, solicitando-lhe que informe o número de acidentes envolvendo veículos automotores ocorridos nos anos 2020 e 2021, no cruzamento entre a Rua Deputado Benedito Lúcio Machado e a Rua 13 de Maio, esquina da Color Tintas.",20,2906,https://sapl.santoantoniodaplatina.pr.leg.br/media/sapl/public/materialegislativa/2021/2906/216-2021.pdf,,,,"('Corpo de Bombeiros', 'Color Tintas')",Rua 13 de Maio,,,,"Rua Treze De Maio Santo Antônio da Platina - Paraná, 86430-000, Brazil",Santo Antônio da Platina,Brazil,-23.2974757,-50.0763831,Paraná,86430-000
2021,217,"Requer que seja expedido ofício ao Excelentíssimo Prefeito Municipal, Senhor José da Silva Coelho Neto, solicitando-lhe que providencie junto ao Departamento Municipal de Trânsito, a instalação de redutor de velocidade na Rua Deputado Benedito Lúcio Machado, próximo ao cruzamento com a Rua 13 de Maio, bem como realize a manutenção (pintura) na sinalização de pare e preferência existente na Rua 13 de Maio.",20,2907,https://sapl.santoantoniodaplatina.pr.leg.br/media/sapl/public/materialegislativa/2021/2907/217-2021.pdf,"('Prefeito Municipal',)","('Senhor José da Silva Coelho Neto',)",,"('Departamento Municipal de Trânsito',)",Rua 13 de Maio,,,,"Rua Treze De Maio Santo Antônio da Platina - Paraná, 86430-000, Brazil",Santo Antônio da Platina,Brazil,-23.2974757,-50.0763831,Paraná,86430-000
2021,217,"Requer que seja expedido ofício ao Excelentíssimo Prefeito Municipal, Senhor José da Silva Coelho Neto, solicitando-lhe que providencie junto ao Departamento Municipal de Trânsito, a instalação de redutor de velocidade na Rua Deputado Benedito Lúcio Machado, próximo ao cruzamento com a Rua 13 de Maio, bem como realize a manutenção (pintura) na sinalização de pare e preferência existente na Rua 13 de Maio.",20,2907,https://sapl.santoantoniodaplatina.pr.leg.br/media/sapl/public/materialegislativa/2021/2907/217-2021.pdf,"('Prefeito Municipal',)","('Senhor José da Silva Coelho Neto',)",,"('Departamento Municipal de Trânsito',)",Rua 13 de Maio,,,,"Rua Treze De Maio Santo Antônio da Platina - Paraná, 86430-000, Brazil",Santo Antônio da Platina,Brazil,-23.2974757,-50.0763831,Paraná,86430-000
2021,247,"Requer ao Ilustríssimo Diretor do Departamento Municipal Trânsito, Senhor Bruno Augusto Ribeiro Chagas, que:

•	proceda uma melhor sinalização no cruzamento da Rua Deputado Benedito Lúcio Machado e a Rua 13 de Maio, esquina da Color Tintas, devido ao alto incide de acidentes envolvendo veículos automotores que ocorrem no local;
•	implantação de sinalização de trânsito nas ruas do Jardim Baggio.
•	Implantação de uma faixa elevada em frente a Escola Municipal Monteiro Lobato.",20,2939,https://sapl.santoantoniodaplatina.pr.leg.br/media/sapl/public/materialegislativa/2021/2939/247-2021.pdf,"('Diretor',)","('Senhor Bruno Augusto Ribeiro Chagas',)","('Jardim Baggio',)","('Departamento Municipal Trânsito', 'Color Tintas', 'Escola Municipal Monteiro Lobato')",Rua 13 de Maio,,,,"Rua Treze De Maio Santo Antônio da Platina - Paraná, 86430-000, Brazil",Santo Antônio da Platina,Brazil,-23.2974757,-50.0763831,Paraná,86430-000
2022,347,"Requer que seja encaminhada a seguinte solicitação ao Excelentíssimo Prefeito Municipal, SENHOR JOSÉ DA SILVA COELHO NETO:
1.	Que determine à Secretaria de Serviços e Obras Públicas para que realize o empedramento e passagem do rolo compactador no final da Rua 13 de Maio;
 2.	Que inclua no cronograma de obras o asfaltamento no trecho do final da Rua 13 de Maio, na Vila Rennó.",143,3850,https://sapl.santoantoniodaplatina.pr.leg.br/media/sapl/public/materialegislativa/2022/3850/347-2022.pdf,"('Prefeito Municipal',)","('SENHOR JOSÉ DA SILVA COELHO',)","('Vila Rennó',)","('Secretaria de Serviços e Obras Públicas',)",Rua 13 de Maio,,,,"Rua Treze De Maio Santo Antônio da Platina - Paraná, 86430-000, Brazil",Santo Antônio da Platina,Brazil,-23.2974757,-50.0763831,Paraná,86430-000
